"","name","algorithm","gamma","retention","confusion","reversal","retention_sd","confusion_sd","reversal_sd"
"1","census","pc",0.1,0.995833333333333,0.00208333333333333,0.0666666666666667,0.00854981960070963,0.00641236470053221,0.00854981960070962
"2","census","pc",1,0.826041666666667,-0.0114583333333333,0.101041666666667,0.0205851444618351,0.0305850303080996,0.0122321447627583
"3","census","pc",10,0.978125,0.00104166666666667,0.084375,0.00465847495312455,0.00465847495312456,0.00465847495312456
"4","census","pc",100,0.978125,0.00104166666666667,0.084375,0.00465847495312455,0.00465847495312456,0.00465847495312456
"5","census","pc",1000,0.978125,0.00104166666666667,0.084375,0.00465847495312455,0.00465847495312456,0.00465847495312456
"6","census","pc",10000,0.979166666666667,0.00104166666666667,0.0833333333333333,0,0.00465847495312456,0
"7","census","pc",1e+05,0.979166666666667,0.003125,0.0833333333333333,0,0.00763224059442757,0
"8","census","pc",1e+06,0.979166666666667,0.00208333333333333,0.0833333333333333,0,0.00641236470053221,0
"9","census","ges",0.1,0.944736842105263,-0.0131578947368421,0.0842105263157895,0.0191126812501159,0.0204238193541964,0.0185317432381194
"10","census","ges",1,0.521929824561403,0.0333333333333333,0.318421052631579,0.0842095644758859,0.0593987466996668,0.0833199678254917
"11","census","ges",10,0.490350877192982,0.294736842105263,0.531578947368421,0.0494498413434934,0.0443097861237044,0.0483315779100159
"12","census","ges",100,0.494736842105263,0.305263157894737,0.528947368421053,0.0478261797983635,0.0415943143990739,0.0445558775410537
"13","census","ges",1000,0.499122807017544,0.298245614035088,0.523684210526316,0.0362123550970836,0.0368882444237085,0.0297266329915058
"14","census","ges",10000,0.498245614035088,0.297368421052632,0.525438596491228,0.0561749662442949,0.0375303951486041,0.0520045754825308
"15","census","ges",1e+05,0.506140350877193,0.273684210526316,0.514912280701754,0.0370088124732088,0.0244158727697705,0.0333236123260303
"16","census","ges",1e+06,0.496491228070175,0.293859649122807,0.52719298245614,0.0398844940971415,0.031627642767228,0.0416235136405774
"17","census","lingam",0.1,0.972115384615385,0.0153846153846154,0.0134615384615385,0.0429899896367651,0.018297176580529,0.0279726030489284
"18","census","lingam",1,0.772115384615385,-0.0346153846153846,0.0451923076923077,0.023573437273274,0.045250952559783,0.0179481154708986
"19","census","lingam",10,0.826923076923077,0.335576923076923,0.168269230769231,0.101568208132001,0.0289135514937428,0.102877284161215
"20","census","lingam",100,0.8625,0.343269230769231,0.131730769230769,0.0862906934409793,0.0400846775778254,0.0849265075144669
"21","census","lingam",1000,0.855769230769231,0.339423076923077,0.140384615384615,0.0817084394359267,0.0365278058189178,0.0818512448570364
"22","census","lingam",10000,0.875961538461538,0.331730769230769,0.118269230769231,0.0612833146866644,0.0240637518784792,0.0576163467539109
"23","census","lingam",1e+05,0.873076923076923,0.3375,0.123076923076923,0.0828674822838009,0.0245442735492628,0.0835691669697395
"24","census","lingam",1e+06,0.874038461538462,0.338461538461538,0.120192307692308,0.0802603498750653,0.0355146352644861,0.0805991558130891
"25","protein","pc",0.1,1,0,0,0,0,0
"26","protein","pc",1,1,0,0,0,0,0
"27","protein","pc",10,1,0,0,0,0,0
"28","protein","pc",100,0.9,-0.1,0,0.307793505625546,0.307793505625546,0
"29","protein","pc",1000,1,0,0,0,0,0
"30","protein","pc",10000,0.975,0.05,0.025,0.11180339887499,0.223606797749979,0.111803398874989
"31","protein","pc",1e+05,1,0,0,0,0,0
"32","protein","pc",1e+06,1,0,0,0,0,0
"33","protein","ges",0.1,1,0,0,0,0,0
"34","protein","ges",1,1,0.2,0,0,0.410391340834062,0
"35","protein","ges",10,1,0.525,0,0,0.678135990088,0
"36","protein","ges",100,1,0.225,0,0,0.572965508284932,0
"37","protein","ges",1000,1,0.55,0,0,0.759154654516248,0
"38","protein","ges",10000,1,0.25,0,0,0.525657483037847,0
"39","protein","ges",1e+05,1,0.4,0,0,0.640723275517187,0
"40","protein","ges",1e+06,1,0.3,0,0,0.656946685331786,0
"41","protein","lingam",0.1,0.9875,-0.0125,0,0.0384741882031933,0.0384741882031933,0
"42","protein","lingam",1,0.75,-0.0125,0.16875,0.0993399267798783,0.120988255193373,0.0611700606161991
